,sequence,pos,nltk,corenlp,opennlp,spacy,flair
0,sequence not str,NN RB NN,NN RB VB,NN RB NN,NN RB IN,NN RB NN,NN RB NN
1,base buffer,JJ NN,NN NN,NN NN,NN NN,NN NN,NN NN
2,read buffer,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
3,write buffer,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
4,read pickle buffer,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
5,write excel buffer,VB NNP NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
6,read csv buffer,VB NNP NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB FW NN
7,test sub dict,VB NN NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN
8,test non dict mapping,VB RB NN NN,VB RB JJ NN,VB RB JJ NN,VB RB JJ NN,VB RB JJ NN,VB RB NN VBG
9,versioneer config,NNP NN,VB NN,VB NN,NN NN,NN NN,NN NN
10,not this method,RB DT NN,RB DT NN,RB JJ NN,RB JJ NN,RB JJ NN,RB DT NN
11,int casting na n error,NN VBG NNP NNP NN,VB VBG RB JJ NN,NN NN NN NN NN,NN NN NN NN NN,NN NN FW FW NN,NN VBG NN NN NN
12,null frequency error,JJ NN NN,JJ NN NN,JJ JJ NN,JJ JJ NN,JJ JJ NN,JJ NN NN
13,performance warning,NN NN,NN NN,NN NN,NN VBG,NN NN,NN NN
14,unsupported function call,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
15,unsorted index error,JJ NN NN,JJ NN NN,VB NN NN,JJ NN NN,VBN NN NN,JJ NN NN
16,parser error,NN NN,VB NN,NN NN,NN NN,NN NN,NN NN
17,d type warning,FW NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
18,empty data error,JJ NNS NN,JJ NNS NN,JJ NNS NN,JJ NNS NN,JJ NNS NN,JJ NNS NN
19,parser warning,NN NN,VB NN,NN NN,NN VBG,NN NN,NN VBG
20,merge error,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
21,abstract method error,JJ NN NN,VB NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
22,num ba util error,NN FW NN NN,NN NN JJ NN,NN NN NN NN,NN NN NN NN,NN NN NN NN,NN NN NN NN
23,duplicate label error,JJ NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
24,invalid index error,JJ NN NN,VB NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
25,data error,NN NN,NNS NN,NNS NN,NNS NN,NNS NN,NNS NN
26,specification error,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
27,chained assignment error,JJ NN NN,VBN JJ NN,VB NN NN,VBN NN NN,VBN JJ NN,JJ NN NN
28,num expr clobbering error,NN NN VBG NN,NN NN VBG NN,NN NN NN NN,NN NN VBG NN,VB NN VBG NN,NN NN VBG NN
29,undefined variable error,JJ NN NN,JJ JJ NN,JJ NN NN,JJ NN NN,JJ JJ NN,JJ JJ NN
30,indexing error,NN NN,VBG NN,VBG NN,VBG NN,VBG NN,VBG NN
31,pyperclip exception,NNP NN,VB NN,VB NN,VB NN,VB NN,NN NN
32,pyperclip windows exception,NNP NNS NN,VB NNS NN,VB NNS NN,VB NNS NN,VB NNS NN,NN NNS NN
33,css warning,NNP NN,VB NN,VB NN,VB NN,VB NN,NNP NN
34,possible data loss error,JJ NN NN NN,JJ NNS NN NN,JJ NNS NN NN,JJ NNS NN NN,JJ NNS NN NN,JJ NNS NN NN
35,closed file error,JJ NN NN,VBN NN NN,VBN NN NN,VBN NN NN,VBN NN NN,VBN NN NN
36,incompatibility warning,NN NN,NN NN,VB NN,NN VBG,NN NN,NN NN
37,attribute conflict warning,NN NN NN,VB NN NN,VB NN NN,NN NN NN,NN NN NN,VB NN NN
38,database error,NN NN,VB NN,NN NN,NN NN,NN NN,NN NN
39,possible precision loss,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
40,value label type mismatch,NN NN NN NN,NN NN NN NN,NN NN NN NN,NN NN NN NN,NN NN NN NN,NN NN NN NN
41,invalid column name,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
42,categorical conversion warning,JJ NN NN,JJ NN NN,VB NN NN,JJ NN NN,JJ NN NN,JJ NN NN
43,lossy set item error,JJ VB NN NN,VB VB NN NN,VB VB NN NN,VB VB NN NN,VBZ VB NN NN,JJ VB NN NN
44,no buffer present,DT NN JJ,DT NN JJ,DT NN JJ,DT NN JJ,DT NN JJ,DT NN JJ
45,invalid comparison,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
46,subclassed series,VBN NNS,VBN NN,VB NN,VBN NNS,VBN NNS,VBN NN
47,subclassed data frame,VBN NNS NN,VBN NNS NN,VB NNS JJ,VBN NNS NN,VBN NNS NN,VBN NNS NN
48,plot accessor,NN NN,NN NN,VB NN,VB NN,NN NN,VB NN
49,options,NNS,NNS,NNS,NNS,NNS,NNS
50,hist plot,NNP NN,VB NN,VB NN,VB NN,NN NN,VB NN
51,kde plot,NNP NN,VB NN,VB NN,VB NN,NNP NN,NNP NN
52,mpl plot,NNP NN,VB NN,VB NN,NN NN,JJ NN,JJ NN
53,plane plot,NN NN,NN NN,VB NN,NN NN,NN NN,NN NN
54,scatter plot,NN NN,NN NN,VB NN,NN NN,NN NN,VB NN
55,hex bin plot,NN JJ NN,VB NN NN,NN NN NN,NN NN NN,NN NN NN,JJ NN NN
56,line plot,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
57,area plot,NN NN,NN NN,VB NN,VB NN,VBZ NN,NN NN
58,bar plot,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
59,barh plot,NNP NN,NN NN,VB NN,VB NN,VBN NN,NN NN
60,pie plot,NN NN,VB NN,VB NN,VB NN,NN NN,VB NN
61,box plot,NN NN,NN NN,VB NN,VB NN,VBZ NN,NN NN
62,bp,NNP,NN,VB,VB,NN,FW
63,time converter,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
64,time formatter,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
65,period converter,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
66,datetime converter,NN NN,VB NN,VB NN,NN NN,VB NN,NN NN
67,pandas auto date formatter,NNP JJ NN NN,VB NN NN NN,VB JJ NN NN,VBZ JJ NN NN,VB NN NN NN,NNS NN NN NN
68,pandas auto date locator,NNP JJ NN NN,VB NN NN NN,VB JJ NN NN,VBZ JJ NN NN,VB NN NN NN,NNS NN NN NN
69,milli second locator,NN NN NNP,VB JJ NN,VB JJ NN,NN JJ NN,VB JJ NN,VB JJ NN
70,time series date locator,NN NNS NN NN,NN NN NN NN,NN NN NN NN,NN NNS NN NN,NN NNS NN NN,NN NN NN NN
71,time series date formatter,NN NNS NN NN,NN NN NN NN,NN NN NN NN,NN NNS NN NN,NN NNS NN NN,NN NN NN NN
72,time series timedelta formatter,NN NNS NNP NN,NN NN NN NN,NN NN NN NN,NN NNS NN NN,NN NNS NN NN,NN NN NN NN
73,data frame,NN NN,NNS NN,NNS JJ,NNS NN,NNS NN,NNS NN
74,index slice,NN NN,NN NN,VB NN,VB NN,NN NN,NN NN
75,indexing mixin,VBG NN,VBG NN,VBG NN,VBG NN,VBG NNS,VBG NN
76,location indexer,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
77,loc indexer,NN NN,VB NN,VB NN,NN NN,NNP NN,NN NN
78,i loc indexer,PRP NN NN,VB NN NN,NN NN NN,NN NN NN,VB NNP NN,NN NN NN
79,scalar access indexer,NN NN NN,JJ NN NN,JJ NN NN,VB NN NN,JJ NN NN,FW NN NN
80,at indexer,IN NNP,IN NN,IN NN,IN NN,IN NN,IN NN
81,i at indexer,PRP IN NNP,VB IN NN,NN IN NN,NN IN NN,VB IN NN,NN IN NN
82,flags,NNS,VB,VB,VB,VB,NNS
83,disallow,VB,VB,VB,VB,VB,VB
84,bottleneck switch,NN NN,VB NN,VB VB,VB NN,NN NN,NN NN
85,nd frame,NNP NN,NN NN,VB JJ,VB NN,JJ NN,FW NN
86,pandas object,NNP NN,VB NN,VB NN,VBZ NN,VB NN,NNS NN
87,no new attributes mixin,DT JJ NNS NN,DT JJ NNS NN,DT JJ NNS NN,DT JJ NNS NN,DT JJ NNS NNS,DT JJ NNS NN
88,selection mixin,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
89,index ops mixin,NN NN NN,NN NNS NN,VB NNS NN,NN NNS NN,VB JJ NNS,NN NNS NN
90,dir names mixin,NN NNS NN,VB NNS NN,NN NNS NN,NN NNS NN,NN NNS NNS,NN NNS NN
91,pandas delegate,NNP NN,VB NN,VB NN,VBZ NN,NN NN,NNS NN
92,cached accessor,VBN NN,VBN NN,VBN NN,VBN NN,VBN NN,VBN NN
93,ops mixin,NN NN,VBZ NN,NNS VBN,NNS NN,VB NNS,VBZ NN
94,series,NN,NN,VB,NNS,NNS,NN
95,resampler,NNP,VB,VB,NN,VB,VB
96,group by mixin,NN IN NNP,NN IN NN,NN IN NN,NN IN NN,VB IN NNS,NN IN NN
97,datetime index resampler,NN NN NNP,VB NN NN,VB NN NN,NN NN NN,VB NN NN,NN NN NN
98,datetime index resampler groupby,NN NN NNP NNP,VB NN NN NN,VB NN NN NN,NN NN NN VBG,VB NN NN NN,NN NN NN NN
99,period index resampler,NN NN NNP,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
100,period index resampler groupby,NN NN NNP NNP,NN NN NN NN,NN NN NN NN,NN NN NN VBG,NN NN NN NN,NN NN NN NN
101,timedelta index resampler,NNP NN NNP,VB NN NN,VB NN NN,NN NN NN,NN NN NN,NN NN NN
102,timedelta index resampler groupby,NNP NN NNP NNP,VB NN NN NN,VB NN NN NN,NN NN NN VBG,NN NN NN NN,NN NN NN NN
103,time grouper,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
104,multi index u int engine,JJ NN FW NNP NN,VB NN NN NN NN,JJ NN NN NN NN,JJ NN NN NN NN,JJ NN NN NN NN,JJ NN NN NN NN
105,multi index py int engine,JJ NN FW NNP NN,JJ NN NN NN NN,JJ NN FW NN NN,JJ NN NN NN NN,JJ NN FW NN NN,JJ NN FW NN NN
106,multi index,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
107,period index,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
108,interval index,NN NN,VB NN,NN NN,NN NN,VB NN,NN NN
109,extension index,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
110,nd array backed extension index,NNP NN VBN NN NN,JJ NN JJ NN NN,VB NN NN NN NN,VB NN JJ NN NN,DT NN VBN NN NN,FW NN VBN NN NN
111,properties,NNS,NNS,NNS,NNS,NNS,NNS
112,arrow temporal properties,NN JJ NNS,VB JJ NNS,VB NN NNS,NN JJ NNS,VB JJ NNS,VB JJ NNS
113,datetime properties,NN NNS,NN NNS,VB NNS,NN NNS,VB NNS,NN NNS
114,timedelta properties,NNP NNS,VB NNS,VB NNS,NN NNS,NN NNS,NN NNS
115,period properties,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS
116,combined datetime like properties,VBN NN IN NNS,VBN NN IN NNS,JJ NN IN NNS,JJ NN IN NNS,JJ NN IN NNS,JJ NN IN NNS
117,index,NN,NN,NN,NN,VB,NN
118,range index,NN NN,VB NN,NN NN,NN NN,VB NN,VB NN
119,datetime index,NN NN,VB NN,VB NN,NN NN,VB NN,NN NN
120,categorical index,JJ NN,JJ NN,VB NN,JJ NN,VB NN,JJ NN
121,timedelta index,NNP NNP,VB NN,VB NN,NN NN,NN NN,NN NN
122,datetime index ops mixin,NN NN NN NN,VB NN VBZ NN,VB NN NNS NN,NN NN NNS NN,VB NN NN NNS,NN NN NNS NN
123,datetime timedelta mixin,NNP NNP NNP,VB NN NN,VB NN NN,NN NN NN,VB NN NNS,NN NN NN
124,pandas buffer,NNP NN,VB NN,VB NN,VBZ NN,NN NN,NNS NN
125,pandas buffer py arrow,NNP NN NNP NN,VB NN FW VB,VB NN FW FW,VBZ NN NN NN,VB NN FW NN,NNS NN FW NN
126,pandas data frame x chg,NNP NNS NN FW NNP,VB NNS NN NN NN,VB NNS JJ NN NN,VBZ NNS NN NN NN,VB NNS NN NN NN,NNS NNS NN NN NN
127,pandas column,NNP NN,VB NN,VB NN,VBZ NN,VB NN,NNS NN
128,dl pack device type,NNP NN NN NN,VB NN NN NN,VB NN NN NN,NN NN NN NN,VB JJ NN NN,FW NN NN NN
129,d type kind,NN NN NN,NN NN NN,NN NN NN,VB NN NN,NN NN NN,NN NN NN
130,column null type,NN JJ NN,NN JJ NN,NN JJ NN,NN JJ NN,NN JJ NN,NN JJ NN
131,column buffers,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS
132,categorical description,JJ NN,JJ NN,VB NN,VB NN,JJ NN,JJ NN
133,buffer,NN,NN,NN,NN,VB,NN
134,column,NN,NN,NN,NN,NN,NN
135,arrow c types,NN FW NNS,VB NN NNS,VB NN NNS,NN NN NNS,VB NN NNS,NN NN NNS
136,endianness,NN,VB,VB,NN,VB,NN
137,year month day dict,NN NN NN NN,NN NN NN NN,NN NN NN NN,NN NN NN JJ,VB NN NN NN,VB NN NN NN
138,full datetime dict,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN JJ,JJ NN NN,JJ NN NN
139,index type,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
140,series type,NN NN,NN NN,VB NN,NNS NN,NNS NN,NN NN
141,index model,NN NN,NN NN,VB NN,NN NN,VB NN,NN NN
142,series model,NN NN,NN NN,VB NN,NNS NN,NNS NN,NN NN
143,iloc type,NNP NN,VB NN,VB NN,JJ NN,VB NN,NN NN
144,i loc model,PRP NN NN,VB NN NN,NN VBN NN,NN NN NN,VB NNP NN,NN NN NN
145,py tables scope,NNP NNS NN,VB NNS NN,FW NNS NN,FW NNS NN,FW NNS NN,FW NNS NN
146,term,NN,NN,NN,NN,NN,NN
147,constant,NN,VB,NN,NN,NN,NN
148,bin op,JJ NN,VB NN,VB NN,VB NN,NN NN,NN NN
149,filter bin op,NN JJ NN,NN NN NN,NN NN NN,NN NN NN,VB NN NN,NN NN NN
150,joint filter bin op,JJ NN JJ NN,NNP NN NN NN,VB NN NN NN,NN NN NN NNS,VB NN NN NN,JJ NN NN NN
151,condition bin op,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
152,joint condition bin op,JJ NN NN NN,VB NN NN NN,VB NN NN NN,NN NN NN NN,VB NN NN NN,JJ NN NN NN
153,unary op,JJ NN,JJ NN,VB NN,JJ NN,JJ NN,JJ NN
154,py tables expr visitor,NNP NNS NN NN,VB NNS FW NN,FW NNS NN NN,FW NNS NN NN,FW NNS NN NN,FW NNS NN NN
155,py tables expr,NNP NNS NN,VB NNS NN,FW NNS NN,FW NNS NN,FW NNS NN,FW NNS NN
156,term value,NN NN,NN NN,NN NN,VB NN,NN NN,NN NN
157,deep chain map,JJ NN NN,VB NN NN,JJ NN NN,VB NN NN,JJ NN NN,JJ NN NN
158,scope,NN,NN,NN,NN,NN,NN
159,op,NN,VB,VB,VB,NN,VB
160,div,NNP,VB,VB,VB,VB,NN
161,math call,NN NN,VB NN,VB NN,NN NN,VB NN,NN NN
162,func node,NN NN,VB NN,VB NN,NN NN,JJ NN,NN NN
163,abstract engine,JJ NN,VB NN,JJ NN,VB NN,JJ NN,JJ NN
164,num expr engine,NN NN NN,NN NN NN,NN NN NN,NN NN NN,VB NN NN,NN NN NN
165,python engine,NNP NN,VB NN,NN NN,NN NN,VB NN,NN NN
166,base expr visitor,JJ NN NN,NN NN NN,NN NN NN,NN NN NN,VB NN NN,NN NN NN
167,pandas expr visitor,NNP NN NN,VB FW NN,VB NN NN,VBZ NN NN,VB NN NN,NNS NN NN
168,python expr visitor,NNP NN NN,VB FW NN,NN NN NN,NN NN NN,VB NN NN,NN NN NN
169,expr,NN,VB,VB,VB,NN,VB
170,group by indexing mixin,VB IN NN NN,NN IN VBG NN,NN IN VBG NNS,NN IN VBG NN,VB IN VBG NNS,NN IN VBG NN
171,group by positional selector,VB IN JJ NN,NN IN JJ NN,NN IN NN NN,NN IN JJ NN,VB IN JJ NN,NN IN JJ NN
172,group by nth selector,VB IN NNP NN,NN IN NN NN,NN IN NN NN,NN IN NN NN,VB IN NN NN,NN IN FW NN
173,wrapped cython op,JJ NNP NN,VBN NN NN,JJ NN NN,JJ NN NN,VBN NN NN,VBN NN NN
174,base grouper,JJ NN,NN NN,NN NN,NN NN,VB NN,NN NN
175,bin grouper,JJ NN,VB NN,VB NN,VB NN,NN NN,NN NN
