ID,SEQUENCE,POS
0,They sweated like dogs .,PRP VBD IN NNS .
1,Image ; Zach Weiner .,NN : NNP NNP .
2,Yeah .,UH .
3,You only have two .,PRP RB VBP CD .
4,Oh my god !,UH PRP$ NN .
5,Political activist and philosopher Noam Chomsky,JJ NN CC NN NNP NNP
6,A prototype is the best example or representation of a concept .,DT NN VBZ DT JJS NN CC NN IN DT NN .
7,"That is , culture is shared .","DT VBZ , NN VBZ VBN ."
8,"So , we hold it like this .","UH , PRP VBP PRP IN DT ."
9,Goode has been in a relationship with Sophie Dymoke since 2005 .,NNP VBZ VBN IN DT NN IN NNP NNP IN CD .
10,The technical term for this type of sequence is _ open other - initiated repair _ :,DT JJ NN IN DT NN IN NN VBZ `` JJ JJ HYPH VBN NN '' :
11,"Arrogance and smugness is often a reflection of limited life experience , and feeling concerned that those with greater life experience "" have got something over them "" .","NN CC NN VBZ RB DT NN IN JJ NN NN , CC VBG JJ IN DT IN JJR NN NN `` VBP VBN NN IN PRP '' ."
12,Look at this .,VB IN DT .
13,Or Renata might be sleeping in her car .,CC NNP MD VB VBG IN PRP$ NN .
14,"There are floral , animal and bird motifs .","EX VBP JJ , NN CC NN NNS ."
15,Runs batted in 171,NNS VBN IN CD
16,"By compiling data from published literature we found that in thirty - one languages around the world , the interjection for other - initiated repair appears to be strongly similar ( Figure 1 ) .","IN VBG NNS IN VBN NN PRP VBD IN IN CD HYPH CD NNS IN DT NN , DT NN IN JJ HYPH VBN NN VBZ TO VB RB JJ -LRB- NNP CD -RRB- ."
17,"In a future study , it is also important to consider if additional training in the difference between reporting on felicity and truth value judgments would impact results , or if more naturalistic experimental conditions ( e.g. , demonstrating actions using real objects instead of two - dimensional depictions ) would be beneficial .","IN DT JJ NN , PRP VBZ RB JJ TO VB IN JJ NN IN DT NN IN VBG IN NN CC NN NN NNS MD VB NNS , CC IN RBR JJ JJ NNS -LRB- FW , VBG NNS VBG JJ NNS RB IN CD HYPH JJ NNS -RRB- MD VB JJ ."
18,"For an indefinite time I clung to the machine as it swayed and vibrated , quite unheeding how I went , and when I brought myself to look at the dials again I was amazed to find where I had arrived .","IN DT JJ NN PRP VBD IN DT NN IN PRP VBD CC VBD , RB JJ WRB PRP VBD , CC WRB PRP VBD PRP TO VB IN DT NNS RB PRP VBD JJ TO VB WRB PRP VBD VBN ."
