,SEQUENCE,POS,NLTK,CORENLP,SPACY,FLAIR,OPENNLP,STANZA
0,They sweated like dogs .,PRP VBD IN NNS .,PRP VBD IN NNS .,PRP VBD IN NNS .,PRP VBD IN NNS .,PRP VBD IN NNS .,PRP VBD IN NNS .,PRP VBD IN NNS .
1,Image ; Zach Weiner .,NN : NNP NNP .,NN : NNP NNP .,NN : NNP NNP .,NN : NNP NNP .,NN : NNP NNP .,NNP : NNP NNP .,NN : NNP NNP .
2,Yeah .,UH .,UH .,UH .,UH .,UH .,UH .,UH .
3,You only have two .,PRP RB VBP CD .,PRP RB VBP CD .,PRP RB VBP CD .,PRP RB VBP CD .,PRP RB VBP CD .,PRP RB VBP CD .,PRP RB VBP CD .
4,Oh my god !,UH PRP$ NN .,UH PRP$ NN .,UH UH UH .,UH UH UH .,UH UH UH .,UH PRP$ NN .,UH PRP$ NN .
5,Political activist and philosopher Noam Chomsky,JJ NN CC NN NNP NNP,JJ NN CC NN NNP NNP,JJ NN CC NN NNP NNP,JJ NN CC NN NNP NNP,JJ NN CC NN NNP NNP,JJ NN CC NN NN .,JJ NN CC NN NNP NNP
6,A prototype is the best example or representation of a concept .,DT NN VBZ DT JJS NN CC NN IN DT NN .,DT NN VBZ DT JJS NN CC NN IN DT NN .,DT NN VBZ DT JJS NN CC NN IN DT NN .,DT NN VBZ DT JJS NN CC NN IN DT NN .,DT NN VBZ DT JJS NN CC NN IN DT NN .,DT NN VBZ DT JJS NN CC NN IN DT NN .,DT NN VBZ DT JJS NN CC NN IN DT NN .
7,"That is , culture is shared .","DT VBZ , NN VBZ VBN .","DT VBZ , NN VBZ VBN .","DT VBZ , NN VBZ VBN .","RB RB , NN VBZ VBN .","RB RB , NN VBZ VBN .","DT VBZ , NN VBZ VBN .","DT VBZ , NN VBZ VBN ."
8,"So , we hold it like this .","UH , PRP VBP PRP IN DT .","RB , PRP VBP PRP IN DT .","RB , PRP VBP PRP IN DT .","RB , PRP VBP PRP IN DT .","RB , PRP VBP PRP IN DT .","RB , PRP VBP PRP IN DT .","RB , PRP VBP PRP IN DT ."
9,Goode has been in a relationship with Sophie Dymoke since 2005 .,NNP VBZ VBN IN DT NN IN NNP NNP IN CD .,NNP VBZ VBN IN DT NN IN NNP NNP IN CD .,NNP VBZ VBN IN DT NN IN NNP NNP IN CD .,NNP VBZ VBN IN DT NN IN NNP NNP IN CD .,NNP VBZ VBN IN DT NN IN NNP NNP IN CD .,NNP VBZ VBN IN DT NN IN NNP NNP IN CD .,NNP VBZ VBN IN DT NN IN NNP NNP IN CD .
10,The technical term for this type of sequence is _ open other - initiated repair _ :,DT JJ NN IN DT NN IN NN VBZ `` JJ JJ HYPH VBN NN '' :,DT JJ NN IN DT NN IN NN VBZ JJ JJ JJ : VBN NN NN :,DT JJ NN IN DT NN IN NN VBZ `` JJ JJ HYPH VBN NN '' :,DT JJ NN IN DT NN IN NN VBZ `` JJ JJ HYPH VBN NN '' :,DT JJ NN IN DT NN IN NN VBZ `` JJ JJ HYPH VBN NN '' :,DT JJ NN IN DT NN IN NN VBZ RB JJ JJ : VBN NN NN :,DT JJ NN IN DT NN IN NN VBZ `` JJ JJ HYPH VBN NN '' :
